
Time,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Weekend
0-1,P6,P6,P6,P6,P6,P6,P6,P6,P6,P6,P6,P6,P6
1-2,P6,P6,P6,P6,P6,P6,P6,P6,P6,P6,P6,P6,P6
2-3,P6,P6,P6,P6,P6,P6,P6,P6,P6,P6,P6,P6,P6
3-4,P6,P6,P6,P6,P6,P6,P6,P6,P6,P6,P6,P6,P6
4-5,P6,P6,P6,P6,P6,P6,P6,P6,P6,P6,P6,P6,P6
5-6,P6,P6,P6,P6,P6,P6,P6,P6,P6,P6,P6,P6,P6
6-7,P6,P6,P6,P6,P6,P6,P6,P6,P6,P6,P6,P6,P6
7-8,P6,P6,P6,P6,P6,P6,P6,P6,P6,P6,P6,P6,P6
8-9,P2,P2,P3,P5,P5,P4,P2,P4,P4,P5,P3,P2,P6
9-10,P1,P1,P2,P4,P4,P3,P1,P3,P3,P4,P2,P1,P6
10-11,P1,P1,P2,P4,P4,P3,P1,P3,P3,P4,P2,P1,P6
11-12,P1,P1,P2,P4,P4,P3,P1,P3,P3,P4,P2,P1,P6
12-13,P1,P1,P2,P4,P4,P3,P1,P3,P3,P4,P2,P1,P6
13-14,P1,P1,P2,P4,P4,P3,P1,P3,P3,P4,P2,P1,P6
14-15,P2,P2,P3,P5,P5,P4,P2,P4,P4,P5,P3,P2,P6
15-16,P2,P2,P3,P5,P5,P4,P2,P4,P4,P5,P3,P2,P6
16-17,P2,P2,P3,P5,P5,P4,P2,P4,P4,P5,P3,P2,P6
17-18,P2,P2,P3,P5,P5,P4,P2,P4,P4,P5,P3,P2,P6
18-19,P1,P1,P2,P4,P4,P3,P1,P3,P3,P4,P2,P1,P6
19-20,P1,P1,P2,P4,P4,P3,P1,P3,P3,P4,P2,P1,P6
20-21,P1,P1,P2,P4,P4,P3,P1,P3,P3,P4,P2,P1,P6
21-22,P1,P1,P2,P4,P4,P3,P1,P3,P3,P4,P2,P1,P6
22-23,P2,P2,P3,P5,P5,P4,P2,P4,P4,P5,P3,P2,P6
23-24,P2,P2,P3,P5,P5,P4,P2,P4,P4,P5,P3,P2,P6
