Mes,Pot_P1_EUR/kWaño,Pot_P2_EUR/kWaño,Pot_P3_EUR/kWaño,Pot_P4_EUR/kWaño,Pot_P5_EUR/kWaño,Pot_P6_EUR/kWaño,EneReg_P1_EUR/kWh,EneReg_P2_EUR/kWh,EneReg_P3_EUR/kWh,EneReg_P4_EUR/kWh,EneReg_P5_EUR/kWh,EneReg_P6_EUR/kWh,Exc_tp_P1_EUR/kWdia,Exc_tp_P2_EUR/kWdia,Exc_tp_P3_EUR/kWdia,Exc_tp_P4_EUR/kWdia,Exc_tp_P5_EUR/kWdia,Exc_tp_P6_EUR/kWdia,React_095_EUR/kVArh,React_080_EUR/kVArh,IEE_perc,IVA_perc,Alq_Trif_EUR/dia,BS_EUR/dia,FNEE_EUR/kWh,TasaMun_perc
Enero,13.982509,11.899074,4.002045,3.653973,2.732707,2.001136,0.045186,0.033811,0.016193,0.009443,0.003550,0.002370,0.171373,0.110506,0.028721,0.021891,0.006142,0.006142,0.041554,0.062332,2.5,21,0.04471,0.00626,0.00097,1.5
Febrero,13.982509,11.899074,4.002045,3.653973,2.732707,2.001136,0.045186,0.033811,0.016193,0.009443,0.003550,0.002370,0.171373,0.110506,0.028721,0.021891,0.006142,0.006142,0.041554,0.062332,2.5,21,0.04471,0.00626,0.00097,1.5
Marzo,13.982509,11.899074,4.002045,3.653973,2.732707,2.001136,0.045186,0.033811,0.016193,0.009443,0.003550,0.002370,0.171373,0.110506,0.028721,0.021891,0.006142,0.006142,0.041554,0.062332,2.5,21,0.04471,0.00626,0.00097,1.5
Abril,13.982509,11.899074,4.002045,3.653973,2.732707,2.001136,0.045186,0.033811,0.016193,0.009443,0.003550,0.002370,0.171373,0.110506,0.028721,0.021891,0.006142,0.006142,0.041554,0.062332,3.8,21,0.04471,0.00626,0.00097,1.5
Mayo,13.982509,11.899074,4.002045,3.653973,2.732707,2.001136,0.045186,0.033811,0.016193,0.009443,0.003550,0.002370,0.171373,0.110506,0.028721,0.021891,0.006142,0.006142,0.041554,0.062332,3.8,21,0.04471,0.00626,0.00097,1.5
Junio,13.982509,11.899074,4.002045,3.653973,2.732707,2.001136,0.045186,0.033811,0.016193,0.009443,0.003550,0.002370,0.171373,0.110506,0.028721,0.021891,0.006142,0.006142,0.041554,0.062332,3.8,21,0.04471,0.00626,0.00097,1.5
Julio,13.982509,11.899074,4.002045,3.653973,2.732707,2.001136,0.045186,0.033811,0.016193,0.009443,0.003550,0.002370,0.171373,0.110506,0.028721,0.021891,0.006142,0.006142,0.041554,0.062332,5.11,21,0.04471,0.00626,0.00097,1.5
Agosto,13.982509,11.899074,4.002045,3.653973,2.732707,2.001136,0.045186,0.033811,0.016193,0.009443,0.003550,0.002370,0.171373,0.110506,0.028721,0.021891,0.006142,0.006142,0.041554,0.062332,5.11,21,0.04471,0.00626,0.00097,1.5
Septiembre,13.982509,11.899074,4.002045,3.653973,2.732707,2.001136,0.045186,0.033811,0.016193,0.009443,0.003550,0.002370,0.171373,0.110506,0.028721,0.021891,0.006142,0.006142,0.041554,0.062332,5.11,21,0.04471,0.00626,0.00097,1.5
Octubre,13.982509,11.899074,4.002045,3.653973,2.732707,2.001136,0.045186,0.033811,0.016193,0.009443,0.003550,0.002370,0.171373,0.110506,0.028721,0.021891,0.006142,0.006142,0.041554,0.062332,5.11,21,0.04471,0.00626,0.00097,1.5
Noviembre,13.982509,11.899074,4.002045,3.653973,2.732707,2.001136,0.045186,0.033811,0.016193,0.009443,0.003550,0.002370,0.171373,0.110506,0.028721,0.021891,0.006142,0.006142,0.041554,0.062332,5.11,21,0.04471,0.00626,0.00097,1.5
Diciembre,13.982509,11.899074,4.002045,3.653973,2.732707,2.001136,0.045186,0.033811,0.016193,0.009443,0.003550,0.002370,0.171373,0.110506,0.028721,0.021891,0.006142,0.006142,0.041554,0.062332,5.11,21,0.04471,0.00626,0.00097,1.5
