datetime_hora,fecha,dia,mes,mes_nombre,dia_semana_2024,tipo_semana,hora_periodo,turno,periodo_tarifario,tramo_horario,hora_inicio,hora_fin,tipo_carga,consumo_kwh,consumo_mwh,potencia_media_kw,reactiva_retrasada_kvarh,reactiva_adelantada_kvarh,CO2(tCO2),factor_potencia_retrasada,factor_potencia_adelantada,potencia_eur_kw_anio,energia_regulada_eur_kwh,exceso_potencia_eur_kw_dia,reactiva_095_eur_kvarh,reactiva_080_eur_kvarh,iee_perc,iva_perc,alq_trif_eur_dia,bs_eur_dia,fnee_eur_kwh,tasa_mun_perc,precio_variable_parcial_eur_kwh,coste_estimado_parcial_eur,semana_anio
2024-01-01 00:00:00,2024-01-01,1,1,Enero,Monday,Weekday,1,N,P6,0-1,0,1,Light_Load,13.83,0.01383,13.83,14.15,0.0,0.0,70.14,100.0,2.001136,0.00237,0.006142,0.041554,0.062332,2.5,21,0.04471,0.00626,0.00097,1.5,0.00334,0.0461922,1
2024-01-01 01:00:00,2024-01-01,1,1,Enero,Monday,Weekday,2,N,P6,1-2,1,2,Light_Load,14.01,0.01401,14.01,15.76,0.0,0.0,66.5475,100.0,2.001136,0.00237,0.006142,0.041554,0.062332,2.5,21,0.04471,0.00626,0.00097,1.5,0.00334,0.0467934,1
2024-01-01 02:00:00,2024-01-01,1,1,Enero,Monday,Weekday,3,N,P6,2-3,2,3,Light_Load,14.12,0.014119999999999999,14.12,16.67,0.0,0.0,64.74000000000001,100.0,2.001136,0.00237,0.006142,0.041554,0.062332,2.5,21,0.04471,0.00626,0.00097,1.5,0.00334,0.047160799999999996,1
2024-01-01 03:00:00,2024-01-01,1,1,Enero,Monday,Weekday,4,N,P6,3-4,3,4,Light_Load,13.82,0.01382,13.82,16.2,0.0,0.0,65.0675,100.0,2.001136,0.00237,0.006142,0.041554,0.062332,2.5,21,0.04471,0.00626,0.00097,1.5,0.00334,0.0461588,1
2024-01-01 04:00:00,2024-01-01,1,1,Enero,Monday,Weekday,5,N,P6,4-5,4,5,Light_Load,14.47,0.01447,14.47,17.64,0.0,0.0,63.5175,100.0,2.001136,0.00237,0.006142,0.041554,0.062332,2.5,21,0.04471,0.00626,0.00097,1.5,0.00334,0.048329800000000006,1
2024-01-01 05:00:00,2024-01-01,1,1,Enero,Monday,Weekday,6,N,P6,5-6,5,6,Light_Load,13.71,0.013710000000000002,13.71,15.26,0.0,0.0,66.89,100.0,2.001136,0.00237,0.006142,0.041554,0.062332,2.5,21,0.04471,0.00626,0.00097,1.5,0.00334,0.0457914,1
2024-01-01 06:00:00,2024-01-01,1,1,Enero,Monday,Weekday,7,M,P6,6-7,6,7,Light_Load,14.26,0.01426,14.26,15.77,0.0,0.0,67.205,100.0,2.001136,0.00237,0.006142,0.041554,0.062332,2.5,21,0.04471,0.00626,0.00097,1.5,0.00334,0.0476284,1
2024-01-01 07:00:00,2024-01-01,1,1,Enero,Monday,Weekday,8,M,P6,7-8,7,8,Light_Load,13.64,0.013640000000000001,13.64,15.37,0.0,0.0,66.5725,100.0,2.001136,0.00237,0.006142,0.041554,0.062332,2.5,21,0.04471,0.00626,0.00097,1.5,0.00334,0.045557600000000004,1
2024-01-01 08:00:00,2024-01-01,1,1,Enero,Monday,Weekday,9,M,P2,8-9,8,9,Light_Load,13.86,0.013859999999999999,13.86,16.73,0.18,0.0,63.93,99.9675,11.899074,0.033811,0.110506,0.041554,0.062332,2.5,21,0.04471,0.00626,0.00097,1.5,0.034781,0.48206466,1
2024-01-01 09:00:00,2024-01-01,1,1,Enero,Monday,Weekday,10,M,P1,9-10,9,10,Light_Load,15.44,0.015439999999999999,15.44,0.0,73.12,0.0,100.0,20.865,13.982509,0.045186,0.171373,0.041554,0.062332,2.5,21,0.04471,0.00626,0.00097,1.5,0.046155999999999996,0.7126486399999999,1
