mes,mes_texto,tipo_semana,hora_periodo,hora_inicio,hora_fin,Time,periodo_tarifario
1,Jan,Weekday,1,0,1,0-1,P6
1,Jan,Weekday,2,1,2,1-2,P6
1,Jan,Weekday,3,2,3,2-3,P6
1,Jan,Weekday,4,3,4,3-4,P6
1,Jan,Weekday,5,4,5,4-5,P6
1,Jan,Weekday,6,5,6,5-6,P6
1,Jan,Weekday,7,6,7,6-7,P6
1,Jan,Weekday,8,7,8,7-8,P6
1,Jan,Weekday,9,8,9,8-9,P2
1,Jan,Weekday,10,9,10,9-10,P1
1,Jan,Weekday,11,10,11,10-11,P1
1,Jan,Weekday,12,11,12,11-12,P1
1,Jan,Weekday,13,12,13,12-13,P1
1,Jan,Weekday,14,13,14,13-14,P1
1,Jan,Weekday,15,14,15,14-15,P2
1,Jan,Weekday,16,15,16,15-16,P2
1,Jan,Weekday,17,16,17,16-17,P2
1,Jan,Weekday,18,17,18,17-18,P2
1,Jan,Weekday,19,18,19,18-19,P1
1,Jan,Weekday,20,19,20,19-20,P1
1,Jan,Weekday,21,20,21,20-21,P1
1,Jan,Weekday,22,21,22,21-22,P1
1,Jan,Weekday,23,22,23,22-23,P2
1,Jan,Weekday,24,23,24,23-24,P2
1,Jan,Weekend,1,0,1,0-1,P6
1,Jan,Weekend,2,1,2,1-2,P6
1,Jan,Weekend,3,2,3,2-3,P6
1,Jan,Weekend,4,3,4,3-4,P6
1,Jan,Weekend,5,4,5,4-5,P6
1,Jan,Weekend,6,5,6,5-6,P6
1,Jan,Weekend,7,6,7,6-7,P6
1,Jan,Weekend,8,7,8,7-8,P6
1,Jan,Weekend,9,8,9,8-9,P6
1,Jan,Weekend,10,9,10,9-10,P6
1,Jan,Weekend,11,10,11,10-11,P6
1,Jan,Weekend,12,11,12,11-12,P6
1,Jan,Weekend,13,12,13,12-13,P6
1,Jan,Weekend,14,13,14,13-14,P6
1,Jan,Weekend,15,14,15,14-15,P6
1,Jan,Weekend,16,15,16,15-16,P6
