mes,mes_nombre,periodo_tarifario,potencia_eur_kw_anio,energia_regulada_eur_kwh,exceso_potencia_eur_kw_dia,reactiva_095_eur_kvarh,reactiva_080_eur_kvarh,iee_perc,iva_perc,alq_trif_eur_dia,bs_eur_dia,fnee_eur_kwh,tasa_mun_perc
1,Enero,P1,13.982509,0.045186,0.171373,0.041554,0.062332,2.5,21,0.04471,0.00626,0.00097,1.5
1,Enero,P2,11.899074,0.033811,0.110506,0.041554,0.062332,2.5,21,0.04471,0.00626,0.00097,1.5
1,Enero,P3,4.002045,0.016193,0.028721,0.041554,0.062332,2.5,21,0.04471,0.00626,0.00097,1.5
1,Enero,P4,3.653973,0.009443,0.021891,0.041554,0.062332,2.5,21,0.04471,0.00626,0.00097,1.5
1,Enero,P5,2.732707,0.00355,0.006142,0.041554,0.062332,2.5,21,0.04471,0.00626,0.00097,1.5
1,Enero,P6,2.001136,0.00237,0.006142,0.041554,0.062332,2.5,21,0.04471,0.00626,0.00097,1.5
2,Febrero,P1,13.982509,0.045186,0.171373,0.041554,0.062332,2.5,21,0.04471,0.00626,0.00097,1.5
2,Febrero,P2,11.899074,0.033811,0.110506,0.041554,0.062332,2.5,21,0.04471,0.00626,0.00097,1.5
2,Febrero,P3,4.002045,0.016193,0.028721,0.041554,0.062332,2.5,21,0.04471,0.00626,0.00097,1.5
2,Febrero,P4,3.653973,0.009443,0.021891,0.041554,0.062332,2.5,21,0.04471,0.00626,0.00097,1.5
2,Febrero,P5,2.732707,0.00355,0.006142,0.041554,0.062332,2.5,21,0.04471,0.00626,0.00097,1.5
2,Febrero,P6,2.001136,0.00237,0.006142,0.041554,0.062332,2.5,21,0.04471,0.00626,0.00097,1.5
3,Marzo,P1,13.982509,0.045186,0.171373,0.041554,0.062332,2.5,21,0.04471,0.00626,0.00097,1.5
3,Marzo,P2,11.899074,0.033811,0.110506,0.041554,0.062332,2.5,21,0.04471,0.00626,0.00097,1.5
3,Marzo,P3,4.002045,0.016193,0.028721,0.041554,0.062332,2.5,21,0.04471,0.00626,0.00097,1.5
3,Marzo,P4,3.653973,0.009443,0.021891,0.041554,0.062332,2.5,21,0.04471,0.00626,0.00097,1.5
3,Marzo,P5,2.732707,0.00355,0.006142,0.041554,0.062332,2.5,21,0.04471,0.00626,0.00097,1.5
3,Marzo,P6,2.001136,0.00237,0.006142,0.041554,0.062332,2.5,21,0.04471,0.00626,0.00097,1.5
4,Abril,P1,13.982509,0.045186,0.171373,0.041554,0.062332,3.8,21,0.04471,0.00626,0.00097,1.5
4,Abril,P2,11.899074,0.033811,0.110506,0.041554,0.062332,3.8,21,0.04471,0.00626,0.00097,1.5
4,Abril,P3,4.002045,0.016193,0.028721,0.041554,0.062332,3.8,21,0.04471,0.00626,0.00097,1.5
4,Abril,P4,3.653973,0.009443,0.021891,0.041554,0.062332,3.8,21,0.04471,0.00626,0.00097,1.5
4,Abril,P5,2.732707,0.00355,0.006142,0.041554,0.062332,3.8,21,0.04471,0.00626,0.00097,1.5
4,Abril,P6,2.001136,0.00237,0.006142,0.041554,0.062332,3.8,21,0.04471,0.00626,0.00097,1.5
5,Mayo,P1,13.982509,0.045186,0.171373,0.041554,0.062332,3.8,21,0.04471,0.00626,0.00097,1.5
5,Mayo,P2,11.899074,0.033811,0.110506,0.041554,0.062332,3.8,21,0.04471,0.00626,0.00097,1.5
5,Mayo,P3,4.002045,0.016193,0.028721,0.041554,0.062332,3.8,21,0.04471,0.00626,0.00097,1.5
5,Mayo,P4,3.653973,0.009443,0.021891,0.041554,0.062332,3.8,21,0.04471,0.00626,0.00097,1.5
5,Mayo,P5,2.732707,0.00355,0.006142,0.041554,0.062332,3.8,21,0.04471,0.00626,0.00097,1.5
5,Mayo,P6,2.001136,0.00237,0.006142,0.041554,0.062332,3.8,21,0.04471,0.00626,0.00097,1.5
6,Junio,P1,13.982509,0.045186,0.171373,0.041554,0.062332,3.8,21,0.04471,0.00626,0.00097,1.5
6,Junio,P2,11.899074,0.033811,0.110506,0.041554,0.062332,3.8,21,0.04471,0.00626,0.00097,1.5
6,Junio,P3,4.002045,0.016193,0.028721,0.041554,0.062332,3.8,21,0.04471,0.00626,0.00097,1.5
6,Junio,P4,3.653973,0.009443,0.021891,0.041554,0.062332,3.8,21,0.04471,0.00626,0.00097,1.5
6,Junio,P5,2.732707,0.00355,0.006142,0.041554,0.062332,3.8,21,0.04471,0.00626,0.00097,1.5
6,Junio,P6,2.001136,0.00237,0.006142,0.041554,0.062332,3.8,21,0.04471,0.00626,0.00097,1.5
7,Julio,P1,13.982509,0.045186,0.171373,0.041554,0.062332,5.11,21,0.04471,0.00626,0.00097,1.5
7,Julio,P2,11.899074,0.033811,0.110506,0.041554,0.062332,5.11,21,0.04471,0.00626,0.00097,1.5
7,Julio,P3,4.002045,0.016193,0.028721,0.041554,0.062332,5.11,21,0.04471,0.00626,0.00097,1.5
7,Julio,P4,3.653973,0.009443,0.021891,0.041554,0.062332,5.11,21,0.04471,0.00626,0.00097,1.5
7,Julio,P5,2.732707,0.00355,0.006142,0.041554,0.062332,5.11,21,0.04471,0.00626,0.00097,1.5
7,Julio,P6,2.001136,0.00237,0.006142,0.041554,0.062332,5.11,21,0.04471,0.00626,0.00097,1.5
8,Agosto,P1,13.982509,0.045186,0.171373,0.041554,0.062332,5.11,21,0.04471,0.00626,0.00097,1.5
8,Agosto,P2,11.899074,0.033811,0.110506,0.041554,0.062332,5.11,21,0.04471,0.00626,0.00097,1.5
8,Agosto,P3,4.002045,0.016193,0.028721,0.041554,0.062332,5.11,21,0.04471,0.00626,0.00097,1.5
8,Agosto,P4,3.653973,0.009443,0.021891,0.041554,0.062332,5.11,21,0.04471,0.00626,0.00097,1.5
8,Agosto,P5,2.732707,0.00355,0.006142,0.041554,0.062332,5.11,21,0.04471,0.00626,0.00097,1.5
8,Agosto,P6,2.001136,0.00237,0.006142,0.041554,0.062332,5.11,21,0.04471,0.00626,0.00097,1.5
9,Septiembre,P1,13.982509,0.045186,0.171373,0.041554,0.062332,5.11,21,0.04471,0.00626,0.00097,1.5
9,Septiembre,P2,11.899074,0.033811,0.110506,0.041554,0.062332,5.11,21,0.04471,0.00626,0.00097,1.5
9,Septiembre,P3,4.002045,0.016193,0.028721,0.041554,0.062332,5.11,21,0.04471,0.00626,0.00097,1.5
9,Septiembre,P4,3.653973,0.009443,0.021891,0.041554,0.062332,5.11,21,0.04471,0.00626,0.00097,1.5
9,Septiembre,P5,2.732707,0.00355,0.006142,0.041554,0.062332,5.11,21,0.04471,0.00626,0.00097,1.5
9,Septiembre,P6,2.001136,0.00237,0.006142,0.041554,0.062332,5.11,21,0.04471,0.00626,0.00097,1.5
10,Octubre,P1,13.982509,0.045186,0.171373,0.041554,0.062332,5.11,21,0.04471,0.00626,0.00097,1.5
10,Octubre,P2,11.899074,0.033811,0.110506,0.041554,0.062332,5.11,21,0.04471,0.00626,0.00097,1.5
10,Octubre,P3,4.002045,0.016193,0.028721,0.041554,0.062332,5.11,21,0.04471,0.00626,0.00097,1.5
10,Octubre,P4,3.653973,0.009443,0.021891,0.041554,0.062332,5.11,21,0.04471,0.00626,0.00097,1.5
10,Octubre,P5,2.732707,0.00355,0.006142,0.041554,0.062332,5.11,21,0.04471,0.00626,0.00097,1.5
10,Octubre,P6,2.001136,0.00237,0.006142,0.041554,0.062332,5.11,21,0.04471,0.00626,0.00097,1.5
11,Noviembre,P1,13.982509,0.045186,0.171373,0.041554,0.062332,5.11,21,0.04471,0.00626,0.00097,1.5
11,Noviembre,P2,11.899074,0.033811,0.110506,0.041554,0.062332,5.11,21,0.04471,0.00626,0.00097,1.5
11,Noviembre,P3,4.002045,0.016193,0.028721,0.041554,0.062332,5.11,21,0.04471,0.00626,0.00097,1.5
11,Noviembre,P4,3.653973,0.009443,0.021891,0.041554,0.062332,5.11,21,0.04471,0.00626,0.00097,1.5
11,Noviembre,P5,2.732707,0.00355,0.006142,0.041554,0.062332,5.11,21,0.04471,0.00626,0.00097,1.5
11,Noviembre,P6,2.001136,0.00237,0.006142,0.041554,0.062332,5.11,21,0.04471,0.00626,0.00097,1.5
12,Diciembre,P1,13.982509,0.045186,0.171373,0.041554,0.062332,5.11,21,0.04471,0.00626,0.00097,1.5
12,Diciembre,P2,11.899074,0.033811,0.110506,0.041554,0.062332,5.11,21,0.04471,0.00626,0.00097,1.5
12,Diciembre,P3,4.002045,0.016193,0.028721,0.041554,0.062332,5.11,21,0.04471,0.00626,0.00097,1.5
12,Diciembre,P4,3.653973,0.009443,0.021891,0.041554,0.062332,5.11,21,0.04471,0.00626,0.00097,1.5
